urls,male,female,university,college,intermediate,education_not_required,banking,insurance,security,real_estate,employee,observer,manager,chief_manager,age,min_age,max_age,min_exp,max_exp,min_salary,max_salary
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-dau-tu-chung-khoan.35B7BFA6.html,0,0,1,0,0,0,1,0,1,0,1,0,0,0,25 - 35,25,35,2,3,16,18
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-van-hanh-core.35B7ADB8.html,0,0,0,1,0,0,1,0,0,0,1,0,0,0,not_limited,not_limited,not_limited,1,2,16,27.5
https://careerbuilder.vn/vi/tim-viec-lam/sale-team-leader-ngoai-hoi.35B7084F.html,0,0,0,0,1,0,0,1,1,0,0,1,0,0,22 - 40,22,40,1,2,15,50
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-hoach-dinh-tai-chinh.35B77192.html,0,0,0,1,0,0,1,1,0,0,1,0,0,0,25 - 35,25,35,1,3,15,50
https://careerbuilder.vn/vi/tim-viec-lam/senior-talent-acquisition-specialist.35B790FB.html,0,0,1,0,0,0,0,0,0,1,0,1,0,0,25 - 35,25,35,2,7,15,35
https://careerbuilder.vn/vi/tim-viec-lam/khu-vuc-ho-chi-minh-chuyen-vien-khach-hang-ca-nhan.35B7AE0B.html,0,0,1,0,0,0,1,0,0,0,1,0,0,0,not_limited,not_limited,not_limited,0,1,15,30
https://careerbuilder.vn/vi/tim-viec-lam/truong-phong-kinh-doanh-bds-gap.35B71918.html,0,0,0,0,1,0,0,0,0,1,0,0,1,0,22 - 35,22,35,1,3,15,30
https://careerbuilder.vn/vi/tim-viec-lam/ke-toan-tong-hop.35B7916E.html,0,0,1,0,0,0,0,0,0,1,1,0,0,0,not_limited,not_limited,not_limited,2,3,15,30
https://careerbuilder.vn/vi/tim-viec-lam/truong-phong-kinh-doanh-bds-di-lam-ngay.35B714F8.html,0,0,0,0,1,0,0,0,0,1,0,0,1,0,22 - 35,22,35,1,3,15,30
https://careerbuilder.vn/vi/tim-viec-lam/backend-developer-net-c-sql.35B744A9.html,0,0,0,1,0,0,1,0,0,0,1,0,0,0,22 - 30,22,30,2,5,15,28
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-hoach-dinh-tai-chinh.35B786F6.html,0,0,0,1,0,0,1,1,0,0,1,0,0,0,25 - 40,25,40,0,1,15,26
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-hoach-dinh-tai-chinh-cap-cao-luong-cung-co-dinh-15-26tr.35B7217F.html,0,0,0,1,0,0,1,1,0,0,1,0,0,0,25 - 35,25,35,0,2,15,26
https://careerbuilder.vn/vi/tim-viec-lam/kiem-soat-vien-tham-dinh-gia.35B794F1.html,0,0,1,0,0,0,1,0,0,1,0,1,0,0,not_limited,not_limited,not_limited,3,7,15,25
https://careerbuilder.vn/vi/tim-viec-lam/truong-ban-quan-ly-toa-nha-%E2%80%93-chung-cu-quan-7-di-lam-ngay.35B7C029.html,0,0,1,0,0,0,0,0,0,1,0,0,1,0,30 - 50,30,50,0,3,15,25
https://careerbuilder.vn/vi/tim-viec-lam/customer-service-japanese-speaking.35B73B6C.html,0,0,1,0,0,0,0,0,0,1,1,0,0,0,23 - 35,23,35,1,5,15,25
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phap-ly-du-an.35B7B9C5.html,0,0,0,1,0,0,0,0,0,1,1,0,0,0,26 - 40,26,40,2,5,15,25
https://careerbuilder.vn/vi/tim-viec-lam/hn-hp-hcm-truong-phong-kinh-doanh-nguon-von-huy-dong-tien-gui-trai-phieu.35B785D0.html,0,0,1,0,0,0,1,1,0,1,0,0,1,0,not_limited,not_limited,not_limited,5,10,15,25
https://careerbuilder.vn/vi/tim-viec-lam/hn-hcm-cv-cvcc-phan-tich-dau-tu-chung-khoan.35B76BC9.html,0,0,1,0,0,0,1,0,1,0,1,0,0,0,not_limited,not_limited,not_limited,3,5,15,25
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-van-hanh-core-net-oracle-ms-sql.35B72012.html,0,0,0,1,0,0,1,0,0,0,1,0,0,0,not_limited,not_limited,not_limited,1,5,15,25
https://careerbuilder.vn/vi/tim-viec-lam/binh-thanh-hcm-chuyen-vien-van-hanh-thu-hoi-no-mang-motivation-hanh-chinh.35B753CD.html,0,0,1,0,0,0,1,0,0,0,1,0,0,0,not_limited,not_limited,not_limited,1,5,15,25
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-tai-chinh.35B79B2F.html,1,0,1,0,0,0,1,0,0,0,1,0,0,0,24 - 35,24,35,1,2,15,25
https://careerbuilder.vn/vi/tim-viec-lam/ke-toan-phai-thu.35B78097.html,0,0,1,0,0,0,0,0,0,1,0,1,0,0,not_limited,not_limited,not_limited,2,10,15,25
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-qs-mep-co-dien.35B763F0.html,1,0,1,0,0,0,0,0,0,1,0,1,0,0,30 - 45,30,45,5,20,15,23
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-m-a-mua-ban-sap-nhap-gap.35B7C1C1.html,0,0,1,0,0,0,0,0,0,1,1,0,0,0,24 - 35,24,35,3,15,15,22
